,simulation,n_samples,criterion,n_dimensions,score,runtime
0,Logarithmic,5,mae,10,115021.10685797133,1.2009711265563965
1,Logarithmic,5,mae,10,113932.03724997115,1.1260557174682617
2,Logarithmic,5,mae,10,113493.80458621436,1.3597962856292725
3,Logarithmic,5,mae,10,113843.72722496018,1.1456875801086426
4,Logarithmic,5,mae,10,114572.35612690313,1.146087408065796
5,Logarithmic,5,mae,10,113832.06823142307,1.3489048480987549
6,Logarithmic,5,mae,10,113786.83206077835,1.149627447128296
7,Logarithmic,5,mae,10,114671.85823656998,1.2200157642364502
8,Logarithmic,5,mae,10,114314.82801141226,1.2117416858673096
9,Logarithmic,5,mae,10,113035.14586034114,0.9993233680725098
10,Logarithmic,5,mse,10,115388.96343395412,1.2737507820129395
11,Logarithmic,5,mse,10,115415.34963423107,1.0870254039764404
12,Logarithmic,5,mse,10,115620.39891471977,1.4443929195404053
13,Logarithmic,5,mse,10,114793.68230827808,1.4668328762054443
14,Logarithmic,5,mse,10,114605.46324367278,1.1389577388763428
15,Logarithmic,5,mse,10,115651.44201840565,1.1512560844421387
16,Logarithmic,5,mse,10,115518.09272001407,1.2463088035583496
17,Logarithmic,5,mse,10,115414.59751386661,1.1711947917938232
18,Logarithmic,5,mse,10,115088.56219069497,1.1910641193389893
19,Logarithmic,5,mse,10,115442.71645979786,1.083162784576416
20,Logarithmic,5,friedman_mse,10,115663.53227377331,1.060537576675415
21,Logarithmic,5,friedman_mse,10,115649.46135425889,1.1420364379882812
22,Logarithmic,5,friedman_mse,10,115075.86070874282,1.0365684032440186
23,Logarithmic,5,friedman_mse,10,115322.26434550958,1.212820053100586
24,Logarithmic,5,friedman_mse,10,114939.87191845695,1.076075553894043
25,Logarithmic,5,friedman_mse,10,115497.16340319221,1.0576519966125488
26,Logarithmic,5,friedman_mse,10,115024.50456032979,1.033703088760376
27,Logarithmic,5,friedman_mse,10,115442.23534732591,1.1111714839935303
28,Logarithmic,5,friedman_mse,10,115666.21191704222,1.221020221710205
29,Logarithmic,5,friedman_mse,10,115096.03315704774,1.0792317390441895
30,Logarithmic,5,axis,10,112416.53799332147,1.202270746231079
31,Logarithmic,5,axis,10,112542.82782569737,1.406209945678711
32,Logarithmic,5,axis,10,111710.44583688397,1.1997950077056885
33,Logarithmic,5,axis,10,112612.1932794194,1.5549821853637695
34,Logarithmic,5,axis,10,112236.74751804613,1.656135082244873
