,n_samples,simulation,criterion,average,error
0,5,joint_normal,mae,0.1201674910427748,0.0018857930712457777
1,5,joint_normal,mse,0.11898352879596512,0.0013314148528512657
2,5,joint_normal,friedman_mse,0.11920882728324966,0.001481938435453485
3,5,sine_4pi,mae,0.07775997553216961,0.0006858472217368025
4,5,sine_4pi,mse,0.07827481376991534,0.0008553537232691744
5,5,sine_4pi,friedman_mse,0.07746587508177609,0.0004926986169561564
6,5,sine_16pi,mae,0.07693960919034111,0.0006594246838274683
7,5,sine_16pi,mse,0.07800633806339159,0.0005286690455717193
8,5,sine_16pi,friedman_mse,0.07783160003940122,0.0009558214797694922
9,5,multi_noise,mae,0.11073581251385607,0.0007618245103293842
10,5,multi_noise,mse,0.11025767395545634,0.0015895883785794296
11,5,multi_noise,friedman_mse,0.11064463989332192,0.0018600486874378007
12,5,step,mae,0.5695980606662251,0.01547777272502569
13,5,step,mse,0.55805627033114,0.017551765563890726
14,5,step,friedman_mse,0.5775903216496958,0.022455933595824686
15,5,spiral,mae,5.38293761175243,0.19432162429751007
16,5,spiral,mse,5.028863447046524,0.10938587304460316
17,5,spiral,friedman_mse,5.810400796627893,0.38005262391014744
18,5,circle,mae,0.07863128954589087,0.0016193909215717769
19,5,circle,mse,0.07954225413982681,0.002391328752924415
20,5,circle,friedman_mse,0.07860416231388,0.002470825893087704
21,5,ellipse,mae,0.0765685718542185,0.00095829913779224
22,5,ellipse,mse,0.08193568800973196,0.0025172264994280553
23,5,ellipse,friedman_mse,0.08569604791483237,0.003174497213374006
24,5,diamond,mae,0.06291855842612558,0.0005674439740258702
25,5,diamond,mse,0.06451304979587212,0.0008649534004402208
26,5,diamond,friedman_mse,0.06333443876596924,0.000582243538609672
27,5,log,mae,0.3505183765706597,0.004878168464323304
28,5,log,mse,0.35597168019978154,0.008075675713572763
29,5,log,friedman_mse,0.3433460816712485,0.003743310311182311
30,5,quadratic,mae,3.556508668949179,0.04154414439452314
31,5,quadratic,mse,3.572559890225771,0.10635627929476842
32,5,quadratic,friedman_mse,3.5018423761777653,0.040151764473420955
33,5,w_shape,mae,4.7933298317334145,0.3153135905270877
34,5,w_shape,mse,4.096543820521727,0.18817209464594187
35,5,w_shape,friedman_mse,4.106870969576111,0.09217344299793168
36,5,two_parabolas,mae,0.04590298008438581,0.0018953721304175832
37,5,two_parabolas,mse,0.041526172869932064,0.0006846896279856959
38,5,two_parabolas,friedman_mse,0.044425237744326426,0.002306743887145568
39,5,fourth_root,mae,0.20882893274265912,0.007138889890675214
40,5,fourth_root,mse,0.20330023627263677,0.007692040994951583
41,5,fourth_root,friedman_mse,0.2034774247702935,0.007440730101037707
42,5,multi_indept,mae,0.12382580752439491,0.001274396772840776
43,5,multi_indept,mse,0.12528863797620632,0.004394521854247967
44,5,multi_indept,friedman_mse,0.1182492993586606,0.003925943372758293
45,5,bernoulli,mae,1.848044963803969,0.07698738112086412
46,5,bernoulli,mse,1.8105454191910124,0.044901858929671724
47,5,bernoulli,friedman_mse,1.6422204489122614,0.013838611219104178
48,5,square,mae,0.06490555460861044,0.0006538809142617841
49,5,square,mse,0.06343153003061666,0.000452791101879048
50,5,square,friedman_mse,0.06416107557455958,0.0005489954642227921
51,5,linear,mae,0.7596483874673831,0.010821157228152904
52,5,linear,mse,0.8136628939363856,0.030939797386324682
53,5,linear,friedman_mse,0.7905994103602415,0.0073534982363449835
54,5,exponential,mae,175.3574298605227,3.0137183582658285
55,5,exponential,mse,182.8917938970305,2.190036762823237
56,5,exponential,friedman_mse,184.1626117849451,2.468708836109759
