,n_samples,simulation,criterion,average,error
0,5,joint_normal,mae,1.4729363048319726,0.03187528331276654
1,5,joint_normal,mse,1.5623591811189792,0.05998339236485785
2,5,joint_normal,friedman_mse,1.552349373313485,0.07449508892264387
3,5,sine_4pi,mae,0.1099522452179735,0.0008424859021753941
4,5,sine_4pi,mse,0.11062617686939609,0.0006560493183488503
5,5,sine_4pi,friedman_mse,0.1099098811618349,0.0008069778291626649
6,5,sine_16pi,mae,0.1108567051662775,0.0007751228563198698
7,5,sine_16pi,mse,0.11120133775738168,0.0008939150323688116
8,5,sine_16pi,friedman_mse,0.10832277447387237,0.0007142843308114325
9,5,multi_noise,mae,0.15578197339310457,0.0013630247566141633
10,5,multi_noise,mse,0.1579887947289024,0.0026069068306802633
11,5,multi_noise,friedman_mse,0.15537729779413345,0.001806961271840986
12,5,step,mae,0.5760453037791395,0.022940659088175417
13,5,step,mse,0.55655706553598,0.018290880793387254
14,5,step,friedman_mse,0.5282131544707733,0.008262587028498676
15,5,spiral,mae,226.63318220150026,6.9872171450909715
16,5,spiral,mse,233.3805230604631,6.566436208777903
17,5,spiral,friedman_mse,219.71508631451107,4.047670561495791
18,5,circle,mae,0.11543792422946186,0.0031197735648203543
19,5,circle,mse,0.11343901263125153,0.005018846410589253
20,5,circle,friedman_mse,0.11296492042589693,0.0027363919648336933
21,5,ellipse,mae,0.11218682814627016,0.004297842127643516
22,5,ellipse,mse,0.11731021265402057,0.0054920307655628026
23,5,ellipse,friedman_mse,0.10919294054770748,0.0031521298879103434
24,5,diamond,mae,0.08952157981787374,0.00045334305137474944
25,5,diamond,mse,0.09172981141243162,0.0006734262440573723
26,5,diamond,friedman_mse,0.09032726328676574,0.0007318576236329174
27,5,log,mae,0.4898085065695238,0.006346931933309296
28,5,log,mse,0.4911820786523708,0.005610543569524385
29,5,log,friedman_mse,0.4953911050672447,0.004830324965252946
30,5,quadratic,mae,3.5156321196939544,0.05616880040848882
31,5,quadratic,mse,3.9151504391052314,0.30232803012245424
32,5,quadratic,friedman_mse,3.806700216428072,0.19460467154302633
33,5,w_shape,mae,3.891063394919712,0.14417110898066057
34,5,w_shape,mse,5.590068667714094,0.2280907006914489
35,5,w_shape,friedman_mse,3.7851976149258717,0.04065450248258011
36,5,two_parabolas,mae,0.06347938941944872,0.0012944933207404427
37,5,two_parabolas,mse,0.06426537065609512,0.0025594269164037975
38,5,two_parabolas,friedman_mse,0.06704671881971166,0.0038190548059111313
39,5,fourth_root,mae,0.2043253864488575,0.004888084510305507
40,5,fourth_root,mse,0.21082488207713895,0.0070167039938606145
41,5,fourth_root,friedman_mse,0.19952455013809134,0.007821708958062747
42,5,multi_indept,mae,0.18994715574218837,0.004220537339104519
43,5,multi_indept,mse,0.17469676528930508,0.00585220022507254
44,5,multi_indept,friedman_mse,0.16663244981935038,0.003758677007325736
45,5,bernoulli,mae,62.433916478590774,1.1999602164059535
46,5,bernoulli,mse,64.57867539221104,1.3574231610044165
47,5,bernoulli,friedman_mse,67.35552112643911,3.058497814035178
48,5,square,mae,0.090344946281168,0.0005482169701299844
49,5,square,mse,0.09011265088717298,0.0005937860316411338
50,5,square,friedman_mse,0.09073186268631482,0.0009647032675969013
51,5,linear,mae,0.7683270033097236,0.0235130601748396
52,5,linear,mse,0.7905239759889758,0.011445873183303364
53,5,linear,friedman_mse,0.8020546444604024,0.024000778110552692
54,5,exponential,mae,558.9966298985133,33.480902860094666
55,5,exponential,mse,515.5840069806425,22.55276116734752
56,5,exponential,friedman_mse,440.5787832132115,3.6723366650288787
57,5,cubic,mae,180.4839381498009,9.67802090764114
58,5,cubic,mse,154.5784835718887,1.9939749882363218
59,5,cubic,friedman_mse,146.90843566663324,2.675743710441803
60,10,joint_normal,mae,1.5322795665762396,0.02295472248248897
61,10,joint_normal,mse,1.4284371210002733,0.006922925480309906
62,10,joint_normal,friedman_mse,1.430245637489934,0.009704554445582832
63,10,sine_4pi,mae,0.10593363181038522,0.0002487376483176016
64,10,sine_4pi,mse,0.10567731151766242,0.0004697904639567052
65,10,sine_4pi,friedman_mse,0.10523619705547896,0.0003741240898841906
66,10,sine_16pi,mae,0.10566955416073147,0.0003494932176468288
67,10,sine_16pi,mse,0.10545041596810718,0.00036163418926677814
68,10,sine_16pi,friedman_mse,0.10577970318849532,0.0003785734241892227
69,10,multi_noise,mae,0.1481751101889787,0.0007481005686119707
70,10,multi_noise,mse,0.14979773368583288,0.0007814658456907931
71,10,multi_noise,friedman_mse,0.14821409201990193,0.0005341330874011182
72,10,step,mae,0.5195617203262143,0.0022638014856604504
73,10,step,mse,0.5368188166121428,0.006423903261558998
74,10,step,friedman_mse,0.5239375050182209,0.003950914264849563
75,10,spiral,mae,225.80419549248694,3.1332226648323562
76,10,spiral,mse,223.0441771085661,2.9587641913596845
77,10,spiral,friedman_mse,222.24319968367013,4.231728987363087
78,10,circle,mae,0.10623309455356562,0.001943160412835092
79,10,circle,mse,0.10816213736983396,0.0018049880352174732
80,10,circle,friedman_mse,0.11002082827451609,0.0020312433437620807
81,10,ellipse,mae,0.1083040744119074,0.0026565062792127674
82,10,ellipse,mse,0.10853744409335386,0.003048093733930215
83,10,ellipse,friedman_mse,0.10861704205843484,0.003076331921269691
84,10,diamond,mae,0.08667609776130236,0.00028824555459255625
85,10,diamond,mse,0.08648016756310517,0.00045206610460631
86,10,diamond,friedman_mse,0.08734158809627975,0.0003432924657171179
87,10,log,mae,0.46361719604371443,0.001854983567384482
88,10,log,mse,0.48345144417986435,0.0027654356132438447
89,10,log,friedman_mse,0.4735829534601038,0.0016002486576249056
90,10,quadratic,mae,3.332259336380335,0.05488412672867335
91,10,quadratic,mse,3.270260254368984,0.05346194324513844
92,10,quadratic,friedman_mse,3.6298498503838035,0.13109628281373398
93,10,w_shape,mae,5.042787735139477,0.05780722395915099
94,10,w_shape,mse,5.229380035356638,0.10843284884604831
95,10,w_shape,friedman_mse,4.065202575218324,0.10809682811256914
96,10,two_parabolas,mae,0.06463559337288724,0.0025055858787255848
97,10,two_parabolas,mse,0.059878440052274017,0.0007295971752634293
98,10,two_parabolas,friedman_mse,0.05943946262722305,0.0013369124288613403
99,10,fourth_root,mae,0.19730574725872124,0.0028154375134346234
100,10,fourth_root,mse,0.1936408326701787,0.0025281778950416146
101,10,fourth_root,friedman_mse,0.20212550861302034,0.00607778373629788
102,10,multi_indept,mae,0.16740126836793728,0.00372010875583376
103,10,multi_indept,mse,0.16297033717293713,0.003159431685980319
104,10,multi_indept,friedman_mse,0.1678486150728235,0.003770767326319867
105,10,bernoulli,mae,62.171528864039146,0.7511904072771765
106,10,bernoulli,mse,59.3759561399786,0.5939351509912881
