,sim,n_samples,n_dim,split,mse
0,cub_sim,30,1,mae,261.660386305621
1,cub_sim,30,1,mae,102.81998397220043
2,cub_sim,30,1,mae,233.24479146859414
3,cub_sim,30,1,mae,649.9052120413503
4,cub_sim,30,1,mae,161.747113161394
5,cub_sim,30,1,mae,208.1381883023322
6,cub_sim,30,1,mae,203.7605720337016
7,cub_sim,30,1,mae,202.14705336508794
8,cub_sim,30,1,mae,754.5817289327749
9,cub_sim,30,1,mae,148.78780167968387
10,spiral_sim,30,1,mae,0.8761731806172622
11,spiral_sim,30,1,mae,1.372205060742562
12,spiral_sim,30,1,mae,0.6563145011076603
13,spiral_sim,30,1,mae,0.921329366509756
14,spiral_sim,30,1,mae,2.0066148916846607
15,spiral_sim,30,1,mae,0.8694636294078968
16,spiral_sim,30,1,mae,0.9841921874862011
17,spiral_sim,30,1,mae,1.4296158206905458
18,spiral_sim,30,1,mae,1.3846171107087009
19,spiral_sim,30,1,mae,0.7156581694136622
20,cub_sim,30,2,mae,807.4050575246284
21,cub_sim,30,2,mae,234.87368343203025
22,cub_sim,30,2,mae,4953.810516149881
23,cub_sim,30,2,mae,6017.677670903828
24,cub_sim,30,2,mae,5457.542502042497
25,cub_sim,30,2,mae,2564.511049463407
26,cub_sim,30,2,mae,258.88944639388916
27,cub_sim,30,2,mae,642.0640460857302
28,cub_sim,30,2,mae,4796.430146291708
29,cub_sim,30,2,mae,639.8494300085284
30,spiral_sim,30,2,mae,1.549836096780017
31,spiral_sim,30,2,mae,1.4534659564732595
32,spiral_sim,30,2,mae,0.3431684639884274
33,spiral_sim,30,2,mae,0.6388741855491434
34,spiral_sim,30,2,mae,0.715739148322243
35,spiral_sim,30,2,mae,0.8720594390491753
36,spiral_sim,30,2,mae,0.5199189849596546
37,spiral_sim,30,2,mae,1.4566456025756596
38,spiral_sim,30,2,mae,0.3391933860199782
39,spiral_sim,30,2,mae,0.8220239958940548
40,cub_sim,30,3,mae,330.51353163018666
41,cub_sim,30,3,mae,540.8750881327552
42,cub_sim,30,3,mae,120.61561434483362
43,cub_sim,30,3,mae,497.5071099068766
44,cub_sim,30,3,mae,497.12040941217003
45,cub_sim,30,3,mae,764.7759015057941
46,cub_sim,30,3,mae,302.06415774083223
47,cub_sim,30,3,mae,278.1350467502369
48,cub_sim,30,3,mae,646.8028893360097
49,cub_sim,30,3,mae,36.88419812571509
50,spiral_sim,30,3,mae,1.7828913111692661
51,spiral_sim,30,3,mae,0.8206892481577771
52,spiral_sim,30,3,mae,0.9807745463285471
53,spiral_sim,30,3,mae,1.5556664410474128
54,spiral_sim,30,3,mae,0.6382047907255085
55,spiral_sim,30,3,mae,0.659930934219558
56,spiral_sim,30,3,mae,1.0328174830469738
57,spiral_sim,30,3,mae,1.2176979215519605
58,spiral_sim,30,3,mae,1.145360142149311
59,spiral_sim,30,3,mae,0.8119507649801074
