,n_samples,n_dim,split,mse
0,10,2,mae,0.28105901547617806
1,10,2,mae,0.2805224006813431
2,10,2,mae,0.28298462643694827
3,10,2,mae,0.27627603677576396
4,10,2,mae,0.22228649319213406
5,10,2,mae,0.3488251176286189
6,10,2,mae,0.30455069157120046
7,10,2,mae,0.36657176803989844
8,10,2,mae,0.4278224736900181
9,10,2,mae,0.2770123549070743
10,10,3,mae,0.40686395777195206
11,10,3,mae,0.39045725750290067
12,10,3,mae,0.48991399058539775
13,10,3,mae,0.48700911342415665
14,10,3,mae,0.6438539382956232
15,10,3,mae,0.46220704583688554
16,10,3,mae,0.5074455646506879
17,10,3,mae,0.4420002404617467
18,10,3,mae,0.49179505239574367
19,10,3,mae,0.3471794918876047
20,10,4,mae,0.7313070836897231
21,10,4,mae,0.6073472954624866
22,10,4,mae,0.5540925781350621
23,10,4,mae,0.7476976819637818
24,10,4,mae,0.6782017737412074
25,10,4,mae,0.654815075500091
26,10,4,mae,0.5618408872130136
27,10,4,mae,0.4839138456755057
28,10,4,mae,0.6847656519844741
29,10,4,mae,0.6833289319127706
30,10,5,mae,0.705321853982489
31,10,5,mae,0.650018400236615
32,10,5,mae,0.5794346390086521
33,10,5,mae,0.6437078606008709
34,10,5,mae,0.7211489006067388
35,10,5,mae,0.6789756328982991
36,10,5,mae,0.5947586998488891
37,10,5,mae,0.6712066955905639
38,10,5,mae,0.6816257446031121
39,10,5,mae,0.6757575161264515
40,10,6,mae,0.7442193079958453
41,10,6,mae,0.7001067896352284
42,10,6,mae,0.6855696681954788
43,10,6,mae,0.8372074455981691
44,10,6,mae,0.8280275296930165
45,10,6,mae,0.6463849462327464
46,10,6,mae,0.7357474452128823
47,10,6,mae,0.606560968474256
48,10,6,mae,0.6775444140520905
49,10,6,mae,0.7131710168082106
50,10,7,mae,0.8366241530783587
51,10,7,mae,0.783275365878343
52,10,7,mae,0.7421899087838016
53,10,7,mae,0.8336862421497522
54,10,7,mae,0.7664345752430101
55,10,7,mae,0.889227060608653
56,10,7,mae,0.7480886191861036
57,10,7,mae,0.8224770648900191
58,10,7,mae,0.8795463949123222
59,10,7,mae,0.8873120442241144
60,10,8,mae,0.8523872215489249
61,10,8,mae,0.932518542847985
62,10,8,mae,0.8313179593537106
63,10,8,mae,0.6417610477729084
64,10,8,mae,0.850671437132857
65,10,8,mae,0.7510232509272999
66,10,8,mae,0.8262733505202391
67,10,8,mae,0.8387398368055725
68,10,8,mae,0.9112068638961995
69,10,8,mae,0.9676454052091152
70,10,9,mae,0.7441746356924746
71,10,9,mae,0.8474539172622171
72,10,9,mae,0.9659842662399747
73,10,9,mae,0.7595385638986086
74,10,9,mae,0.8435528784640652
75,10,9,mae,0.9144538818325353
76,10,9,mae,0.8180055887494267
77,10,9,mae,0.8793806327675334
78,10,9,mae,0.9413835596884546
79,10,9,mae,1.0022096692780842
80,10,10,mae,0.9567268395809657
81,10,10,mae,0.8931073092103903
82,10,10,mae,0.9623282758523709
83,10,10,mae,0.9247295243303016
84,10,10,mae,0.9403634352015254
85,10,10,mae,1.0413592694903635
86,10,10,mae,0.910592039052486
87,10,10,mae,0.8846360954439545
88,10,10,mae,1.0220517165819738
89,10,10,mae,0.9930653642667613
90,20,2,mae,0.2230367276949567
91,20,2,mae,0.25505808006801056
92,20,2,mae,0.254286763904113
93,20,2,mae,0.2712031944687795
94,20,2,mae,0.20943479709240181
95,20,2,mae,0.2561188195226615
96,20,2,mae,0.19543264901258037
